default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DLOMYP400501,Lost Mary OS5000 4% Disposable-10-Pack-Banana Duo-4%,Disposables,98.99,80.0,goods,0,Banana Duo,,4%,10
DLOMYP400501,Lost Mary OS5000 4% Disposable-10-Pack-Banana Duo-4%,Disposables,98.99,80.0,goods,0,Banana Duo,,4%,10
DLOMYP400502,Lost Mary OS5000 4% Disposable-10-Pack-Cherry Banana Duo Ice-4%,Disposables,98.99,80.0,goods,0,Cherry Banana Duo Ice,,4%,10
DLOMYP400502,Lost Mary OS5000 4% Disposable-10-Pack-Cherry Banana Duo Ice-4%,Disposables,98.99,80.0,goods,0,Cherry Banana Duo Ice,,4%,10
DLOMYP400502,Lost Mary OS5000 4% Disposable-10-Pack-Cherry Banana Duo Ice-4%,Disposables,98.99,80.0,goods,0,Cherry Banana Duo Ice,,4%,10
DLOMYP400503,Lost Mary OS5000 4% Disposable-10-Pack-Lemon Mint-4%,Disposables,98.99,80.0,goods,0,Lemon Mint,,4%,10
DLOMYP400503,Lost Mary OS5000 4% Disposable-10-Pack-Lemon Mint-4%,Disposables,98.99,80.0,goods,0,Lemon Mint,,4%,10
DLOMYP400503,Lost Mary OS5000 4% Disposable-10-Pack-Lemon Mint-4%,Disposables,98.99,80.0,goods,0,Lemon Mint,,4%,10
DLOMYP400504,Lost Mary OS5000 4% Disposable-10-Pack-Pineapple Duo Ice-4%,Disposables,98.99,80.0,goods,0,Pineapple Duo Ice,,4%,10
DLOMYP400504,Lost Mary OS5000 4% Disposable-10-Pack-Pineapple Duo Ice-4%,Disposables,98.99,80.0,goods,0,Pineapple Duo Ice,,4%,10
DLOMYP400504,Lost Mary OS5000 4% Disposable-10-Pack-Pineapple Duo Ice-4%,Disposables,98.99,80.0,goods,0,Pineapple Duo Ice,,4%,10
DLOMYP400505,Lost Mary OS5000 4% Disposable-10-Pack-Triple Berry Duo Ice-4%,Disposables,98.99,80.0,goods,0,Triple Berry Duo Ice,,4%,10
DLOMYP400505,Lost Mary OS5000 4% Disposable-10-Pack-Triple Berry Duo Ice-4%,Disposables,98.99,80.0,goods,0,Triple Berry Duo Ice,,4%,10
