SKU,Name,Price,Cost,Quantity,UPC,Weight,Volume,Nicotine_Level,Flavor,Unit_Per_Pack,Location_1,Qty_1
JHSTBS352001,"Halo Salts Collection 30ML - 35mg - Tribecca",11.48,7.00,0,,,,,,,Z,0
JHSSZS502002,"Halo Salts Collection 30ML - 50mg - Subzero",7.99,7.00,0,,,,,,,Z,0
JHSTBS502002,"Halo Salts Collection 30ML - 50mg - Tribecca",7.99,7.00,0,,,,,,,Z,0
COIL18,"GeekVape Aegis Boost Replacement Pod 2 Pack",7.29,4.60,0,,,,,,,Z,0
PSMNXP000001,"SMOK Novo X Replacement Pods 3 Pack - 0.8ohm - Meshed",6.48,4.90,0,,,,,,,Z,0
COIL09,"Snowwolf WF Replacement Coils Pack of 5 - WF Gold 0.2ohm",5.40,3.90,0,,,,,,,Z,0
COIL08,"Snowwolf WF Replacement Coils Pack of 5 - WF-H Gold 0.16ohm",10.99,13.20,0,,,,,,,Z,0
COIL13,"Vaporesso EUC Replacement Coil 5 Pack - 0.6ohm - Meshed",1.01,0.70,0,,,,,,,Z,0
PSMR2P000001,"SMOK RPM 2 Coils 5 Pack - 0.16ohm",10.30,7.95,0,,,,,,,Z,0
DLFLOP500012,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Strawberry Hibiscus",69.00,47.25,0,,,,,,,Z,0
DLFLOP500004,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Dragonfruit Mango",69.00,47.25,0,,,,,,,Z,0
DLFLOP500015,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - White Grape Ice",104.99,46.00,8,,,,,,,Z,8
DLFLOP500013,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Vanilla Strawberry Custard",69.00,47.50,0,,,,,,,Z,0
DLFLOP500001,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Banana Ice",69.00,47.50,0,,,,,,,Z,0
DLFLOP500009,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Lychee Strawberry Ice",104.99,47.50,0,,,,,,,Z,0
6239,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Lychee Peach Ice",95.00,47.50,0,,,,,,,Z,0
COIL34,"SMOK RPM160 Replacement Pod - RPM 160 Replacement Pod",3.28,2.40,16,,,,,,,Z,16
BSAMSP000002,"Imren Purple IMR 18650 Battery 2 Pack",12.15,9.00,0,,,,,,,Z,0
COIL27,"SMOK RPM160 Coil 3 Pack - Mesh 0.15ohm",6.90,5.10,0,,,,,,,Z,0
COIL06,"FreeMax FireLuke Mesh Coils 5 Pack - 0.12ohm SS316L",6.41,4.90,0,,,,,,,Z,0
DABLXP500003,"Air Bar Lux Disposable 10-Pack - 50mg - Banana Ice",49.97,42.50,0,,,,,,,Z,0
DABLXP500035,"Air Bar Lux Disposable 10-Pack - 50mg - Watermelon Ice",49.97,42.50,0,,,,,,,Z,0
DABLXP500028,"Air Bar Lux Disposable 10-Pack - 50mg - Strawberry Kiwi",49.97,45.00,0,,,,,,,Z,0
DABLXP500030,"Air Bar Lux Disposable 10-Pack - 50mg - Strawberry Watermelon",49.97,42.50,0,,,,,,,Z,0
DABLXP500029,"Air Bar Lux Disposable 10-Pack - 50mg - Strawberry Mango",49.97,42.50,0,,,,,,,Z,0
DABLXP500008,"Air Bar Lux Disposable 10-Pack - 50mg - Blueberry Raspberry",49.97,42.50,0,,,,,,,Z,0
DABLXP500031,"Air Bar Lux Disposable 10-Pack - 50mg - Sunset Cocktail",49.97,42.50,0,,,,,,,Z,0
DABLXP500025,"Air Bar Lux Disposable 10-Pack - 50mg - Raspberry Watermelon",49.97,42.50,0,,,,,,,Z,0
PVPXRP000001,"Vaporesso Xros Replacement Pods 2-Pack - 0.8ohm",3.99,3.04,0,,,,,,,Z,0
DLFLOP500010,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Lychee Watermelon Ice",69.00,47.50,0,,,,,,,Z,0
DLFLOP500007,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Honeydew Lemon Ice",69.00,47.25,0,,,,,,,Z,0
DLFLOP500014,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Watermelon Ice",69.00,47.50,0,,,,,,,Z,0
DLFLOP500002,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Candy White Peach Ice",104.99,46.00,0,,,,,,,Z,0
DLFLOP500006,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Guava Ice",69.00,47.50,0,,,,,,,Z,0
DLFLOP500011,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Strawberry Banana",69.00,47.50,0,,,,,,,Z,0
JVGD30SS50IBB,"VGOD Salt Collection 30ML - 50mg - Sour Berry Bomb Ice",9.99,6.50,0,,,,,,,Z,0
DLFLOP500003,"Lush Flow 1500 Puffs Disposable Vape 10 Pack - 5% - Cool Mint",69.00,47.50,0,,,,,,,Z,0
DABLXP500027,"Air Bar Lux Disposable 10-Pack - 50mg - Shake Shake",49.97,42.50,0,,,,,,,Z,0
